CustomerID,Age Group,Gender,ItemPurchased,Category,PurchaseAmount,Location,Size,Color,Season,ReviewRating,SubscriptionStatus,ShippingType,PromoCodeUsed,PreviousPurchases,PaymentMethod,DiscountValue
1,50 - 59,Female,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,No,0,Debit Card,0
2,10 - 19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,0,Cash,10
3,50 - 59,Female,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,No,0,Credit Card,0
4,0 - 9,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,No,0,Cash,
5,40 - 49,Female,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,No,0,Cash,0
6,40 - 49,Female,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,No,0,Debit Card,0
7,0 - 9,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,No,0,Cash,0
8,20 - 29,Female,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,No,0,Credit Card,0
9,20 - 29,Female,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Debit Card,20
10,50 - 59,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,10
11,0 - 9,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,No,0,Bank Transfer,
12,30 - 39,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,No,0,Bank Transfer,0
13,60 - 70,Female,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,No,37,Debit Card,0
14,0 - 9,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,No,31,Credit,0
15,60 - 70,Female,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,No,34,Debit Card,
16,60 - 70,Female,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,No,0,Cash,
17,20 - 29,Female,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,0,Debit Card,20
18,50 - 59,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Debit Card,50
19,50 - 59,Female,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,No,0,Cash,
20,60 - 70,Female,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,No,0,Debit Card,0
21,20 - 29,Female,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,No,0,Cash,
22,30 - 39,Female,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,No,0,Debit Card,0
23,50 - 59,Female,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,No,0,Debit Card,
24,30 - 39,Female,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,No,0,Credit Card,0
25,10 - 19,Female,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,10
26,10 - 19,Female,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,0,Credit,20
27,30 - 39,Female,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,No,0,Credit Card,
28,50 - 59,Female,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5,Yes,Next Day Air,Yes,0,Bank Transfer,10
29,50 - 59,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,No,0,Cash,0
30,0 - 9,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,10
31,50 - 59,Female,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,0,Credit Card,50
32,30 - 39,Female,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,No,0,Debit Card,
33,30 - 39,Female,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,No,37,Debit Card,0
34,50 - 59,Female,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,0,Cash,10
35,30 - 39,Female,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,No,0,Credit,0
36,50 - 59,Female,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4,Yes,2-Day Shipping,No,48,Credit Card,0
37,0 - 9,Female,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,No,0,Credit,
38,30 - 39,Female,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,0,Cash,10
39,20 - 29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,No,0,Debit Card,
40,60 - 70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,No,18,Credit Card,0
41,60 - 70,Female,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,No,0,Debit Card,0
42,60 - 70,Female,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,No,0,Debit Card,0
43,20 - 29,Female,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,0,Cash,10
44,20 - 29,Female,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,0,Credit,10
45,0 - 9,Female,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,No,45,Cash,0
46,50 - 59,Female,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,0,Credit,10
47,50 - 59,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,No,0,Cash,
48,50 - 59,Female,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,10
49,40 - 49,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,No,0,Cash,0
50,60 - 70,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,No,34,Debit Card,
51,40 - 49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,No,0,Debit Card,0
52,50 - 59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,0,Credit Card,10
53,40 - 49,Female,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,No,26,Credit Card,
54,20 - 29,Female,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,No,35,Credit Card,
55,40 - 49,Female,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,50
56,40 - 49,Female,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3,Yes,2-Day Shipping,No,49,Credit Card,
57,40 - 49,Female,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,0,Credit Card,10
58,20 - 29,Female,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,No,0,Debit Card,
59,60 - 70,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,No,0,Debit Card,0
60,60 - 70,Female,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,No,0,Debit Card,
61,50 - 59,Female,Sweater,Clothing,37,Idaho,L,Brown,Summer,4,Yes,Express,Yes,17,Cash,10
62,50 - 59,,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,No,0,Credit Card,
63,30 - 39,Female,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,No,0,Credit Card,
64,30 - 39,Female,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,No,0,Credit Card,
65,60 - 70,Female,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,0,Debit Card,10
66,60 - 70,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,No,0,Debit Card,0
67,30 - 39,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,No,3,Debit Card,
68,40 - 49,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,No,49,Debit Card,
69,0 - 9,Female,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,20
70,40 - 49,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,No,0,Cash,
71,20 - 29,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,No,0,Debit Card,
72,30 - 39,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,No,34,Bank Transfer,
73,10 - 19,Female,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,No,0,Bank Transfer,0
74,40 - 49,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,No,0,Bank Transfer,
75,40 - 49,Female,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,No,0,Cash,
76,60 - 70,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,No,0,Credit Card,0
77,50 - 59,Female,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,No,0,Debit Card,0
78,0 - 9,Female,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,No,36,Debit Card,
79,50 - 59,Female,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,No,0,Debit Card,
80,30 - 39,Female,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,0,Bank Transfer,10
81,10 - 19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,No,0,Credit Card,
82,60 - 70,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,0,Credit Card,10
83,10 - 19,Female,Pants,Clothing,28,Georgia,S,Olive,Spring,4,Yes,2-Day Shipping,No,0,Credit Card,0
84,30 - 39,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,0,Bank Transfer,10
85,50 - 59,Female,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,No,42,Bank Transfer,
86,50 - 59,Female,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,0,Debit Card,10
87,20 - 29,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,No,0,Cash,
88,50 - 59,Female,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,0,Debit Card,10
89,30 - 39,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,No,35,Credit Card,
90,40 - 49,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,No,15,Cash,0
91,0 - 9,Female,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,No,29,Credit Card,
92,40 - 49,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,No,0,Credit Card,0
93,60 - 70,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,No,0,Debit Card,
94,30 - 39,Female,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,No,46,Credit Card,0
95,50 - 59,Female,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,10
96,30 - 39,Female,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,No,0,Debit,
97,30 - 39,Female,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Express,No,43,Debit Card,
98,20 - 29,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,0,Cash,10
99,20 - 29,Female,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,No,20,Bank Transfer,0
100,20 - 29,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,No,0,Debit Card,0
101,60 - 70,Female,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,No,0,Cash,
102,20 - 29,Female,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,0,Credit Card,50
103,0 - 9,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,No,35,Credit Card,0
104,50 - 59,Female,Boots,Footwear,89,West Virginia,L,Red,Winter,4,Yes,Next Day Air,No,0,Debit Card,0
105,50 - 59,Female,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,No,1,Debit,0
106,60 - 70,Female,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,No,0,Bank Transfer,
107,60 - 70,Female,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,No,0,Credit Card,
108,20 - 29,Female,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,0,Cash,50
109,60 - 70,Female,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,0,Bank Transfer,10
110,50 - 59,Female,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,No,0,Bank Transfer,
111,50 - 59,Female,Backpack,Accessories,26,New York,M,Black,Summer,4,Yes,Standard,No,26,Debit Card,0
112,0 - 9,Female,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5,Yes,Free Shipping,No,0,Credit Card,0
113,30 - 39,Female,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,No,0,Credit,
114,40 - 49,Female,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,No,20,Cash,
115,60 - 70,Female,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,0,Cash,10
116,50 - 59,Female,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,No,0,Debit Card,
117,50 - 59,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,0,Debit Card,20
118,50 - 59,Female,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,No,29,Cash,
119,50 - 59,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,No,0,Cash,
120,30 - 39,Female,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,No,0,Cash,0
121,60 - 70,Female,Hat,Accessories,84,West Virginia,L,Red,Summer,4,Yes,Express,No,0,Bank Transfer,0
122,10 - 19,Female,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,0,Cash,10
123,40 - 49,Female,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,No,0,Cash,
124,50 - 59,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,No,0,Cash,0
125,40 - 49,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,0,Cash,50
126,40 - 49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,45,Debit Card,10
127,40 - 49,Female,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,No,0,Cash,0
128,20 - 29,Female,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,No,26,Credit Card,
129,20 - 29,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Standard,No,0,Credit Card,
130,20 - 29,Female,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,No,49,Credit,
131,40 - 49,Female,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,13,Debit,10
132,20 - 29,Female,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,No,0,Credit Card,
133,30 - 39,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,No,0,Debit,0
134,50 - 59,Female,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,No,25,Debit Card,0
